fifty_periods,main_place_slave_purch,purch_lat,purch_long,slaves_embarked
1750-1800,"Lagos, Onim",37.1,-8.67,13183
1750-1800,Little Popo,6.2273,1.5814,1937
1750-1800,Loango,-4.4925,11.2558,46795
1750-1800,Lourenço Marques,-25.9692,32.5732,386
1750-1800,Madagascar,-25.033,46.9833,772
1750-1800,Malembo,-5.3384,12.1876,105186
1750-1800,Mano,6.9295,-11.5007,622
1750-1800,Mascarene Islands,-20.7167,56.6167,696
1750-1800,Mauritius (Ile de France),-20.3484,57.5522,92
1750-1800,Mayumba,-3.4259,10.6567,1520
1750-1800,Momboza or Zanzibar,-6.1563,39.1927,476
1750-1800,Mozambique,-17.74087,35.3777,37722
1750-1800,New Calabar,4.5502,6.9783,53860
1750-1800,Popo,6.2833,1.833,10180
1750-1800,Porto Novo,6.4969,2.6289,45832
1750-1800,Portuguese Guinea,11,-10,649
1750-1800,Princes Island,18.58,-72.33,3843
1750-1800,Quaqua,-28.5011,28.7719,175
1750-1800,Quilimane,-17.85,36.92,201
1750-1800,Quirimba,-12.4264,40.6069,504
1750-1800,Rio Nunez,10.833,-14.533,1985
1750-1800,Rio Pongo,10.05,-14.065,815
1750-1800,River del Rey,4.5352,8.7426,270
1750-1800,Scarcies,8.48444,-13.23444,157
1750-1800,Senegal,14.72,-17.47,38285
1750-1800,Sherbro,7.31,-12.3,3309
1750-1800,Sierra Leone estuary,8.48444,-13.23444,72983
1750-1800,"Sierra Leone, port unspecified",8.57,-13.03,1254
1750-1800,Sofala,-19,34.75,352
1750-1800,"Southeast Africa and Indian Ocean islands, port unspecified",-18.7669,46.8691,3012
1750-1800,St. Paul,-21.0453,55.3365,287
1750-1800,St. Paul de Loanda,-8.80407,13.2333,396787
1750-1800,São Tomé,0.34523,6.7371,5605
1750-1800,São Tomé or Princes Island,0.34523,6.7371,1165
1750-1800,Tabou,5.1012,-7.3517,358
1750-1800,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,304972
1750-1800,West of Cape Apolonia,4.9885,-2.5904,212
1750-1800,Whydah,6.363,2.085,107466
1750-1800,Windward + Ivory + Gold +  Benin,5.1761,-1.1233,43031
1750-1800,Windward Coast (Nunez - Assini),12.185,-68.987,16525
1750-1800,"Windward Coast, port unspecified",12.185,-68.987,77460
1800-1850,Accra,5.55,-0.02,4469
1800-1850,"Africa., port unspecified",5.1036,-1.2411,747196
1800-1850,Ambriz,-7.8499,13.1167,77518
1800-1850,"Anomabu, Adja, Agga",5.1761,-1.1233,3345
1800-1850,Badagry,6.415,2.88,6925
1800-1850,Bance Island (Ben's Island),8.5667,-13.033,2233
1800-1850,Bassa,7.7702,7.0498,2413
1800-1850,Benguela,-12.59,13.42,235553
1800-1850,Benin,6.379,2.4513,1823
1800-1850,"Bight of Benin, port unspecified",5,2.1,18521
1800-1850,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,10515
1800-1850,Bights,2.8333,8,4043
1800-1850,Bimbia,4.066,9.4,1269
1800-1850,Bissagos,11.25,-16.083,837
1800-1850,Bissau,11.86113,-15.5859,25746
1800-1850,Bonny,4.4142,7.1898,110021
1800-1850,Cabinda,-5.57,12.2,265904
1800-1850,Cacheu,12,-16.1667,11973
1800-1850,Calabar,4.982,8.3345,44890
1800-1850,Cameroons,4.0449,9.6855,8981
1800-1850,Cameroons River,4.0833,9.7,6962
1800-1850,Cap Lopez,-0.7726,8.7812,6623
1800-1850,Cape Coast Castle,5.1,-1.24,9913
1800-1850,Cape Lahou,5.1365,-5.026,1052
1800-1850,Cape Mount (Cape Grand Mount),7.133,-11.05,7805
1800-1850,Cape Verde Islands,16.54,-23.04,7904
1800-1850,Cape of Good Hope,-34.21,18.28,788
1800-1850,Casamance,13.0153,-15.3177,350
1800-1850,Christiansborg,5.5469,-0.1833,1818
1800-1850,Coanza River,-9.35,13.15,884
1800-1850,Congo North,-4.769,11.866,7658
1800-1850,Congo River,-6.07,12.45,70280
1800-1850,Corisco,0.9167,9.3167,675
1800-1850,Costa da Mina,5.0827,-1.348,114577
1800-1850,Costa de Africa (mainland coast around S Tome/Principe),0.34523,6.7371,362
1800-1850,Côte de Malaguette (runs through to Cape Palmas on Windward Coast),12.185,-68.987,542
1800-1850,Elmina,5.1053,-1.3421,1008
1800-1850,Formosa,-26.1775,-58.178,158
1800-1850,French Africa (Goree or Senegal),14.6679,-17.3989,248
1800-1850,Gabon,-0.8037,11.6094,14348
1800-1850,Galam,32.4612,35.0211,67
1800-1850,Gallinhas,11.4667,-15.6833,38397
1800-1850,Gambia,13.4432,-15.3101,6580
1800-1850,"Gold Coast, Fr. definition",5.1761,-1.1233,530
1800-1850,"Gold Coast, port unspecified",5.1036,-1.2411,38994
1800-1850,Grand Bassa,6.233,-9.833,1186
1800-1850,Grand Mesurado,6.2945,-10.7452,2385
1800-1850,Ife,7.4905,4.5521,507
1800-1850,Iles Plantain,0.255436,6.602781,158
1800-1850,Iles de Los,9.4769,-13.7855,4468
1800-1850,Inhambane,-23.86723,35.37964,10504
1800-1850,Keta,5.9031,0.9868,397
1800-1850,Kilwa,-8.9659,39.4971,1836
1800-1850,"Lagos, Onim",37.1,-8.67,71322
1800-1850,Little Bassa,6.025,-10.2099,187
1800-1850,Little Popo,6.2273,1.5814,3
1800-1850,Loango,-4.4925,11.2558,16296
1800-1850,Lourenço Marques,-25.9692,32.5732,9575
1800-1850,Madagascar,-25.033,46.9833,8835
1800-1850,Malembo,-5.3384,12.1876,66768
1800-1850,Mayumba,-3.4259,10.6567,724
1800-1850,Momboza or Zanzibar,-6.1563,39.1927,929
1800-1850,Mozambique,-17.74087,35.3777,165412
1800-1850,New Calabar,4.5502,6.9783,10733
1800-1850,Popo,6.2833,1.833,6530
1800-1850,Porto Novo,6.4969,2.6289,7075
1800-1850,Portuguese Guinea,11,-10,1374
1800-1850,Princes Island,18.58,-72.33,18590
1800-1850,Quicombo,-11.433,14,718
1800-1850,Quilimane,-17.85,36.92,112573
1800-1850,Rio Nunez,10.833,-14.533,1991
1800-1850,Rio Pongo,10.05,-14.065,17734
1800-1850,Rio Zaire,-6.07416,12.4499982,2542
1800-1850,River Brass,4.317,6.224,4320
1800-1850,Salinas,36.6778,-121.655,572
1800-1850,Senegal,14.72,-17.47,10391
1800-1850,Senegambia or Sierra Leone,8.4844,-13.2344,825
1800-1850,Sherbro,7.31,-12.3,6866
1800-1850,Sierra Leone estuary,8.48444,-13.23444,7012
1800-1850,"Sierra Leone, port unspecified",8.57,-13.03,5383
1800-1850,Sofala,-19,34.75,1140
1800-1850,"Southeast Africa and Indian Ocean islands, port unspecified",-18.7669,46.8691,6100
1800-1850,St. Paul de Loanda,-8.80407,13.2333,552556
1800-1850,São Tomé,0.34523,6.7371,41593
1800-1850,São Tomé or Princes Island,0.34523,6.7371,17712
1800-1850,Trade Town,5.7844,-9.8463,13
1800-1850,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,85203
1800-1850,Whydah,6.363,2.085,41621
1800-1850,Windward + Ivory + Gold +  Benin,5.1761,-1.1233,1076
1800-1850,Windward Coast (Nunez - Assini),12.185,-68.987,7206
1800-1850,"Windward Coast, port unspecified",12.185,-68.987,5495
1800-1850,Zanzibar,-6.1563,39.1927,3419
1850-1900,"Africa., port unspecified",5.1036,-1.2411,143986
1850-1900,Ambriz,-7.8499,13.1167,9664
1850-1900,Benguela,-12.59,13.42,9544
1850-1900,"Bight of Benin, port unspecified",5,2.1,2693
1850-1900,Cabinda,-5.57,12.2,10365
1850-1900,Cap Lopez,-0.7726,8.7812,284
1850-1900,Congo North,-4.769,11.866,3150
1850-1900,Congo River,-6.07,12.45,45814
1850-1900,Gallinhas,11.4667,-15.6833,1219
1850-1900,Ibo,-12.3448,40.5891,1236
1850-1900,Inhambane,-23.86723,35.37964,1000
1850-1900,Keta,5.9031,0.9868,1171
1850-1900,Kilongo,-5.5032,24.1272,2946
1850-1900,"Lagos, Onim",37.1,-8.67,3672
1850-1900,Loango,-4.4925,11.2558,2747
1850-1900,Malembo,-5.3384,12.1876,1114
1850-1900,Mozambique,-17.74087,35.3777,9030
1850-1900,New Calabar,4.5502,6.9783,154
1850-1900,Popo,6.2833,1.833,1093
1850-1900,Porto Novo,6.4969,2.6289,565
1850-1900,Quicombo,-11.433,14,307
1850-1900,Quilimane,-17.85,36.92,4643
1850-1900,Quirimba,-12.4264,40.6069,846
1850-1900,Rio Pongo,10.05,-14.065,489
1850-1900,River Brass,4.317,6.224,673
1850-1900,Sherbro,7.31,-12.3,612
1850-1900,St. Paul de Loanda,-8.80407,13.2333,623
1850-1900,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,949
1850-1900,Whydah,6.363,2.085,7917
