time_per,fifty_periods,main_place_slave_purch,country_reg_ship,purch_lat,purch_long,slaves_embarked
1550,1500-1550,Cape Verde Islands,Spain,16.54,-23.04,1330
1550,1500-1550,"Gold Coast, Fr. definition",Portugal,5.1761,-1.1233,359
1550,1500-1550,São Tomé,Portugal,0.34523,6.7371,359
1550,1500-1550,"West Central Africa and St. Helena, port unspecified",Spain,-3.4426,10.6563,363
1600,1550-1600,Cape Verde Islands,Portugal,16.54,-23.04,7210
1600,1550-1600,Cape Verde Islands,Spain,16.54,-23.04,1791
1600,1550-1600,"Sierra Leone, port unspecified",Great Britain,8.57,-13.03,1049
1600,1550-1600,"Sierra Leone, port unspecified",Portugal,8.57,-13.03,359
1600,1550-1600,Portuguese Guinea,France,11,-10,359
1600,1550-1600,Portuguese Guinea,Portugal,11,-10,9749
1600,1550-1600,Portuguese Guinea,Spain,11,-10,2512
1600,1550-1600,"Africa., port unspecified",France,6.6111,20.9394,164
1600,1550-1600,"Africa., port unspecified",Great Britain,6.6111,20.9394,700
1600,1550-1600,"Africa., port unspecified",Portugal,6.6111,20.9394,5830
1600,1550-1600,São Tomé,Portugal,0.34523,6.7371,3399
1600,1550-1600,"West Central Africa and St. Helena, port unspecified",Portugal,-3.4426,10.6563,20829
1600,1550-1600,"West Central Africa and St. Helena, port unspecified",Spain,-3.4426,10.6563,1006
1600,1550-1600,Congo River,Portugal,-6.07,12.45,413
1600,1550-1600,St. Paul de Loanda,Portugal,-8.80407,13.2333,1145
1600,1550-1600,St. Paul de Loanda,Spain,-8.80407,13.2333,371
1650,1600-1650,Cape Verde Islands,Portugal,16.54,-23.04,8002
1650,1600-1650,Cape Verde Islands,Spain,16.54,-23.04,1400
1650,1600-1650,Cacheu,France,12,-16.1667,179
1650,1600-1650,Cacheu,Portugal,12,-16.1667,1059
1650,1600-1650,Cacheu,Spain,12,-16.1667,413
1650,1600-1650,Gambia,Great Britain,13.4432,-15.3101,607
1650,1600-1650,Portuguese Guinea,Portugal,11,-10,9781
1650,1600-1650,Portuguese Guinea,Spain,11,-10,7631
1650,1600-1650,"Africa., port unspecified",Other,6.6111,20.9394,347
1650,1600-1650,"Africa., port unspecified",Great Britain,6.6111,20.9394,1163
1650,1600-1650,"Africa., port unspecified",Netherlands,6.6111,20.9394,3242
1650,1600-1650,"Africa., port unspecified",Portugal,6.6111,20.9394,3426
1650,1600-1650,"Africa., port unspecified",Spain,6.6111,20.9394,148
1650,1600-1650,"Africa., port unspecified",USA,6.6111,20.9394,149
1650,1600-1650,"Gold Coast, port unspecified",Great Britain,5.1036,-1.2411,299
1650,1600-1650,Gold Coast + Bight of Benin + Bight of Biafra,Netherlands,5.1761,-1.1233,2698
1650,1600-1650,Accra,Netherlands,5.55,-0.02,213
1650,1600-1650,"Bight of Benin, port unspecified",Netherlands,5,2.1,361
1650,1600-1650,Ardra,Netherlands,6.379,2.451324,4785
1650,1600-1650,Ardra,Portugal,6.379,2.451324,1612
1650,1600-1650,Ardra,Spain,6.379,2.451324,1697
1650,1600-1650,São Tomé,Netherlands,0.34523,6.7371,482
1650,1600-1650,São Tomé,Portugal,0.34523,6.7371,6686
1650,1600-1650,São Tomé,Spain,0.34523,6.7371,1209
1650,1600-1650,Gulf of Guinea islands,Spain,1.6139,7.4057,256
1650,1600-1650,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Great Britain,2.833,8,1737
1650,1600-1650,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Netherlands,2.833,8,1209
1650,1600-1650,Calabar,Other,4.982,8.3345,643
1650,1600-1650,Calabar,Great Britain,4.982,8.3345,3738
1650,1600-1650,Calabar,Netherlands,4.982,8.3345,2794
1650,1600-1650,Calabar,Portugal,4.982,8.3345,353
1650,1600-1650,Calabar,Other,4.982,8.3345,260
1650,1600-1650,River del Rey,Great Britain,4.5352,8.7426,743
