time_per,fifty_periods,main_place_slave_purch,country_reg_ship,purch_lat,purch_long,slaves_embarked
1650,1600-1650,River del Rey,Netherlands,4.5352,8.7426,140
1650,1600-1650,Cap Lopez,Netherlands,-0.7726,8.7812,313
1650,1600-1650,"West Central Africa and St. Helena, port unspecified",Netherlands,-3.4426,10.6563,489
1650,1600-1650,"West Central Africa and St. Helena, port unspecified",Portugal,-3.4426,10.6563,11984
1650,1600-1650,"West Central Africa and St. Helena, port unspecified",Spain,-3.4426,10.6563,6657
1650,1600-1650,Loango,Netherlands,-4.4925,11.2558,139
1650,1600-1650,Mpinda,Netherlands,-6.141,12.3521,411
1650,1600-1650,St. Paul de Loanda,Other,-8.80407,13.2333,325
1650,1600-1650,St. Paul de Loanda,Netherlands,-8.80407,13.2333,13387
1650,1600-1650,St. Paul de Loanda,Portugal,-8.80407,13.2333,84841
1650,1600-1650,St. Paul de Loanda,Spain,-8.80407,13.2333,6569
1700,1650-1700,Cape Verde Islands,France,16.54,-23.04,591
1700,1650-1700,Cape Verde Islands,Portugal,16.54,-23.04,0
1700,1650-1700,Cape Verde Islands,Spain,16.54,-23.04,2475
1700,1650-1700,Senegal,France,14.72,-17.47,4478
1700,1650-1700,Arguim,Other,20.89894,-17.05258,339
1700,1650-1700,Albreda,France,13.3378,-16.3861,316
1700,1650-1700,Cacheu,Great Britain,12,-16.1667,171
1700,1650-1700,Cacheu,Spain,12,-16.1667,200
1700,1650-1700,Bissau,France,11.86113,-15.5859,632
1700,1650-1700,Gambia,France,13.4432,-15.3101,150
1700,1650-1700,Gambia,Great Britain,13.4432,-15.3101,12946
1700,1650-1700,Gambia,Netherlands,13.4432,-15.3101,110
1700,1650-1700,Sierra Leone estuary,Great Britain,8.48444,-13.23444,1760
1700,1650-1700,Bance Island (Ben's Island),Great Britain,8.5667,-13.033,77
1700,1650-1700,Sherbro,Great Britain,7.31,-12.3,277
1700,1650-1700,Cape Mount (Cape Grand Mount),France,7.133,-11.05,316
1700,1650-1700,Sassandra,Spain,4.9513,-6.0918,145
1700,1650-1700,Ivory Coast,France,7.54,-5.5471,180
1700,1650-1700,Costa da Mina,Portugal,5.0827,-1.348,24729
1700,1650-1700,Elmina,Great Britain,5.1053,-1.3421,145
1700,1650-1700,Elmina,Netherlands,5.1053,-1.3421,747
1700,1650-1700,Elmina,Portugal,5.1053,-1.3421,984
1700,1650-1700,"Africa., port unspecified",Other,6.6111,20.9394,664
1700,1650-1700,"Africa., port unspecified",France,6.6111,20.9394,8071
1700,1650-1700,"Africa., port unspecified",Great Britain,6.6111,20.9394,73116
1700,1650-1700,"Africa., port unspecified",Other,6.6111,20.9394,14110
1700,1650-1700,"Africa., port unspecified",Netherlands,6.6111,20.9394,10141
1700,1650-1700,"Africa., port unspecified",Portugal,6.6111,20.9394,3832
1700,1650-1700,"Africa., port unspecified",Spain,6.6111,20.9394,3767
1700,1650-1700,"Africa., port unspecified",USA,6.6111,20.9394,181
1700,1650-1700,"Gold Coast, port unspecified",Other,5.1036,-1.2411,521
1700,1650-1700,"Gold Coast, port unspecified",France,5.1036,-1.2411,696
1700,1650-1700,"Gold Coast, port unspecified",Great Britain,5.1036,-1.2411,23056
1700,1650-1700,"Gold Coast, port unspecified",Netherlands,5.1036,-1.2411,9144
1700,1650-1700,"Gold Coast, port unspecified",Portugal,5.1036,-1.2411,406
1700,1650-1700,"Gold Coast, port unspecified",USA,5.1036,-1.2411,143
1700,1650-1700,Cape Coast Castle,Other,5.1,-1.24,290
1700,1650-1700,Cape Coast Castle,Great Britain,5.1,-1.24,5729
1700,1650-1700,Alampo,Great Britain,5.102,-1.2388,1024
1700,1650-1700,Gold Coast from Kormatine to Accra,Portugal,5.1761,-1.1233,408
1700,1650-1700,"Gold Coast, Fr. definition",France,5.1761,-1.1233,316
1700,1650-1700,Danish Gold Coast,Other,5.5469,-0.1833,243
1700,1650-1700,Danish Gold Coast,Other,5.5469,-0.1833,1422
1700,1650-1700,Accra,Great Britain,5.55,-0.02,849
1700,1650-1700,Keta,Great Britain,5.9031,0.9868,230
1700,1650-1700,Little Popo,Other,6.2273,1.5814,506
1700,1650-1700,Little Popo,Great Britain,6.2273,1.5814,404
1700,1650-1700,Grand Popo,Netherlands,6.2639,1.7417,467
1700,1650-1700,Popo,Netherlands,6.2833,1.833,563
1700,1650-1700,Whydah,France,6.363,2.085,2369
1700,1650-1700,Whydah,Great Britain,6.363,2.085,41307
1700,1650-1700,Whydah,Other,6.363,2.085,2084
1700,1650-1700,Whydah,Netherlands,6.363,2.085,3330
1700,1650-1700,"Bight of Benin, port unspecified",France,5,2.1,1679
1700,1650-1700,"Bight of Benin, port unspecified",Great Britain,5,2.1,1374
1700,1650-1700,"Bight of Benin, port unspecified",Other,5,2.1,1796
1700,1650-1700,"Bight of Benin, port unspecified",Netherlands,5,2.1,3632
1700,1650-1700,"Bight of Benin, port unspecified",Portugal,5,2.1,408
1700,1650-1700,Ardra,France,6.379,2.451324,997
1700,1650-1700,Ardra,Great Britain,6.379,2.451324,20359
1700,1650-1700,Ardra,Netherlands,6.379,2.451324,26258
1700,1650-1700,Ardra,Portugal,6.379,2.451324,100
1700,1650-1700,São Tomé,Portugal,0.34523,6.7371,2130
1700,1650-1700,New Calabar,France,4.5502,6.9783,386
1700,1650-1700,New Calabar,Great Britain,4.5502,6.9783,13309
1700,1650-1700,New Calabar,Spain,4.5502,6.9783,104
1700,1650-1700,Bonny,Great Britain,4.4142,7.1898,1782
1700,1650-1700,Bonny,Netherlands,4.4142,7.1898,195
1700,1650-1700,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Great Britain,2.833,8,10424
1700,1650-1700,Bights,Great Britain,2.8333,8,1015
1700,1650-1700,Calabar,Great Britain,4.982,8.3345,20981
1700,1650-1700,Calabar,Netherlands,4.982,8.3345,2007
1700,1650-1700,Calabar,Portugal,4.982,8.3345,1040
1700,1650-1700,River del Rey,Netherlands,4.5352,8.7426,422
1700,1650-1700,Cap Lopez,Great Britain,-0.7726,8.7812,181
1700,1650-1700,Corisco,Netherlands,0.9167,9.3167,804
1700,1650-1700,"West Central Africa and St. Helena, port unspecified",Great Britain,-3.4426,10.6563,23387
1700,1650-1700,"West Central Africa and St. Helena, port unspecified",Other,-3.4426,10.6563,624
1700,1650-1700,"West Central Africa and St. Helena, port unspecified",Netherlands,-3.4426,10.6563,3183
1700,1650-1700,"West Central Africa and St. Helena, port unspecified",Portugal,-3.4426,10.6563,586
1700,1650-1700,"West Central Africa and St. Helena, port unspecified",Spain,-3.4426,10.6563,2131
1700,1650-1700,Loango,Great Britain,-4.4925,11.2558,94
1700,1650-1700,Loango,Netherlands,-4.4925,11.2558,2463
1700,1650-1700,Boary,Netherlands,-4.49257,11.25584,674
1700,1650-1700,Gabon,Portugal,-0.8037,11.6094,408
1700,1650-1700,Congo North,Netherlands,-4.769,11.866,26223
1700,1650-1700,Malembo,France,-5.3384,12.1876,301
1700,1650-1700,Malembo,Netherlands,-5.3384,12.1876,906
1700,1650-1700,Cabinda,Great Britain,-5.57,12.2,2648
1700,1650-1700,Mpinda,Netherlands,-6.141,12.3521,604
1700,1650-1700,Soyo,USA,-6.141,12.3521,146
1700,1650-1700,Congo River,Great Britain,-6.07,12.45,243
1700,1650-1700,Congo River,Spain,-6.07,12.45,800
1700,1650-1700,St. Paul de Loanda,Great Britain,-8.80407,13.2333,1376
1700,1650-1700,St. Paul de Loanda,Portugal,-8.80407,13.2333,7582
1700,1650-1700,St. Paul de Loanda,Portugal / Brazil,-8.80407,13.2333,600
1700,1650-1700,St. Paul de Loanda,Spain,-8.80407,13.2333,1100
1700,1650-1700,Madagascar,Great Britain,-25.033,46.9833,6643
1700,1650-1700,Madagascar,USA,-25.033,46.9833,1124
1750,1700-1750,Windward Coast (Nunez - Assini),Netherlands,6.4281,-9.4295,459
1750,1700-1750,"Windward Coast, port unspecified",France,6.4281,-9.4295,1131
1750,1700-1750,"Windward Coast, port unspecified",Great Britain,6.4281,-9.4295,3098
1750,1700-1750,"Windward Coast, port unspecified",Netherlands,6.4281,-9.4295,914
1750,1700-1750,"Windward Coast, port unspecified",USA,6.4281,-9.4295,159
1750,1700-1750,Cape Verde Islands,Great Britain,16.54,-23.04,108
1750,1700-1750,Cape Verde Islands,USA,16.54,-23.04,224
1750,1700-1750,Senegal,France,14.72,-17.47,13854
1750,1700-1750,Cacheu,Great Britain,12,-16.1667,500
1750,1700-1750,Cacheu,Portugal,12,-16.1667,1315
1750,1700-1750,Gallinhas,France,11.4667,-15.6833,177
1750,1700-1750,Gallinhas,Great Britain,11.4667,-15.6833,666
1750,1700-1750,Bissau,France,11.86113,-15.5859,168
1750,1700-1750,Bissau,Great Britain,11.86113,-15.5859,331
1750,1700-1750,Bissau,Portugal,11.86113,-15.5859,160
1750,1700-1750,Gambia,France,13.4432,-15.3101,605
1750,1700-1750,Gambia,Great Britain,13.4432,-15.3101,27659
1750,1700-1750,Gambia,Netherlands,13.4432,-15.3101,309
1750,1700-1750,Gambia,Portugal,13.4432,-15.3101,169
1750,1700-1750,Gambia,USA,13.4432,-15.3101,1855
1750,1700-1750,Sierra Leone estuary,France,8.48444,-13.23444,782
1750,1700-1750,Sierra Leone estuary,Great Britain,8.48444,-13.23444,3925
1750,1700-1750,Sierra Leone estuary,USA,8.48444,-13.23444,196
1750,1700-1750,Banana Islands,France,8.1159,-13.2115,446
1750,1700-1750,Banana Islands,Great Britain,8.1159,-13.2115,538
1750,1700-1750,Banana Islands,USA,8.1159,-13.2115,96
1750,1700-1750,Bance Island (Ben's Island),Great Britain,8.5667,-13.033,786
1750,1700-1750,Sherbro,France,7.31,-12.3,90
1750,1700-1750,Sherbro,Great Britain,7.31,-12.3,962
1750,1700-1750,Cape Mount (Cape Grand Mount),France,7.133,-11.05,213
1750,1700-1750,Cape Mount (Cape Grand Mount),Great Britain,7.133,-11.05,666
1750,1700-1750,Cape Mount (Cape Grand Mount),USA,7.133,-11.05,134
1750,1700-1750,Grand Mesurado,France,6.2945,-10.7452,804
1750,1700-1750,Sassandra,France,4.9513,-6.0918,495
1750,1700-1750,Ivory Coast,Great Britain,7.54,-5.5471,527
1750,1700-1750,Cape Lahou,France,5.1365,-5.026,977
1750,1700-1750,Cape Lahou,Great Britain,5.1365,-5.026,619
1750,1700-1750,Cape Lahou,Netherlands,5.1365,-5.026,2137
1750,1700-1750,Cape Lahou,Portugal,5.1365,-5.026,2502
1750,1700-1750,Grand Bassam,France,5.2259,-3.7537,455
1750,1700-1750,Grand Bassam,Great Britain,5.2259,-3.7537,172
1750,1700-1750,Rio Assini,Portugal,5.1167,-3.2833,301
1750,1700-1750,Axim,Netherlands,4.8665,-2.2409,1067
1750,1700-1750,Pokesoe (formerly Gross Friedrichsburg),Other,4.7956,-2.134,247
1750,1700-1750,Costa da Mina,France,5.0827,-1.348,367
1750,1700-1750,Costa da Mina,Portugal,5.0827,-1.348,136217
1750,1700-1750,Elmina,France,5.1053,-1.3421,1939
1750,1700-1750,Elmina,Netherlands,5.1053,-1.3421,24672
1750,1700-1750,Elmina,Portugal,5.1053,-1.3421,1067
1750,1700-1750,"Africa., port unspecified",France,6.6111,20.9394,61529
1750,1700-1750,"Africa., port unspecified",Great Britain,6.6111,20.9394,424170
1750,1700-1750,"Africa., port unspecified",Other,6.6111,20.9394,2117
1750,1700-1750,"Africa., port unspecified",Netherlands,6.6111,20.9394,18642
1750,1700-1750,"Africa., port unspecified",Portugal,6.6111,20.9394,1676
1750,1700-1750,"Africa., port unspecified",USA,6.6111,20.9394,18553
1750,1700-1750,"Gold Coast, port unspecified",Other,5.1036,-1.2411,1763
1750,1700-1750,"Gold Coast, port unspecified",France,5.1036,-1.2411,4421
1750,1700-1750,"Gold Coast, port unspecified",Great Britain,5.1036,-1.2411,76734
1750,1700-1750,"Gold Coast, port unspecified",Netherlands,5.1036,-1.2411,7545
1750,1700-1750,"Gold Coast, port unspecified",Portugal,5.1036,-1.2411,235
1750,1700-1750,"Gold Coast, port unspecified",USA,5.1036,-1.2411,1121
1750,1700-1750,Cape Coast Castle,France,5.1,-1.24,1479
1750,1700-1750,Cape Coast Castle,Great Britain,5.1,-1.24,28528
1750,1700-1750,Cape Coast Castle,Portugal,5.1,-1.24,508
1750,1700-1750,Cape Coast Castle,USA,5.1,-1.24,149
1750,1700-1750,Alampo,Great Britain,5.102,-1.2388,590
1750,1700-1750,"Anomabu, Adja, Agga",France,5.1761,-1.1233,14416
1750,1700-1750,"Anomabu, Adja, Agga",Great Britain,5.1761,-1.1233,25340
1750,1700-1750,"Anomabu, Adja, Agga",USA,5.1761,-1.1233,1166
1750,1700-1750,"Gold Coast, Fr. definition",France,5.1761,-1.1233,2372
1750,1700-1750,Windward + Ivory + Gold +  Benin,France,5.1761,-1.1233,2238
1750,1700-1750,Windward + Ivory + Gold +  Benin,Great Britain,5.1761,-1.1233,2734
1750,1700-1750,Windward + Ivory + Gold +  Benin,Netherlands,5.1761,-1.1233,6232
1750,1700-1750,Christiansborg,Other,5.5469,-0.1833,4924
1750,1700-1750,Accra,France,5.55,-0.02,981
1750,1700-1750,Accra,Great Britain,5.55,-0.02,233
1750,1700-1750,Accra,Netherlands,5.55,-0.02,2014
1750,1700-1750,Keta,France,5.9031,0.9868,611
1750,1700-1750,Keta,Great Britain,5.9031,0.9868,372
1750,1700-1750,Keta,Netherlands,5.9031,0.9868,467
1750,1700-1750,Little Popo,France,6.2273,1.5814,10716
1750,1700-1750,Little Popo,Great Britain,6.2273,1.5814,102
1750,1700-1750,Grand Popo,France,6.2639,1.7417,765
1750,1700-1750,Popo,France,6.2833,1.833,1638
1750,1700-1750,Whydah,Other,6.363,2.085,373
1750,1700-1750,Whydah,France,6.363,2.085,93781
1750,1700-1750,Whydah,Great Britain,6.363,2.085,52066
1750,1700-1750,Whydah,Netherlands,6.363,2.085,26888
1750,1700-1750,Whydah,Portugal,6.363,2.085,5239
1750,1700-1750,"Bight of Benin, port unspecified",Other,5,2.1,1175
1750,1700-1750,"Bight of Benin, port unspecified",France,5,2.1,7426
1750,1700-1750,"Bight of Benin, port unspecified",Great Britain,5,2.1,2421
1750,1700-1750,"Bight of Benin, port unspecified",Netherlands,5,2.1,1969
1750,1700-1750,"Bight of Benin, port unspecified",Portugal,5,2.1,855
1750,1700-1750,Benin,France,6.379,2.4513,863
1750,1700-1750,Benin,Great Britain,6.379,2.4513,3145
1750,1700-1750,Ardra,France,6.379,2.451324,91
1750,1700-1750,Ardra,Netherlands,6.379,2.451324,1278
1750,1700-1750,Badagry,France,6.415,2.88,3827
1750,1700-1750,Badagry,Netherlands,6.415,2.88,5159
1750,1700-1750,Epe,France,6.6055,3.947,9503
1750,1700-1750,Epe,Great Britain,6.6055,3.947,661
1750,1700-1750,Epe,Portugal,6.6055,3.947,816
1750,1700-1750,São Tomé,Great Britain,0.34523,6.7371,542
1750,1700-1750,São Tomé,Portugal,0.34523,6.7371,3208
1750,1700-1750,New Calabar,France,4.5502,6.9783,276
1750,1700-1750,New Calabar,Great Britain,4.5502,6.9783,3261
1750,1700-1750,Bonny,France,4.4142,7.1898,1494
1750,1700-1750,Bonny,Great Britain,4.4142,7.1898,37087
1750,1700-1750,Bonny,USA,4.4142,7.1898,292
1750,1700-1750,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",France,2.833,8,471
1750,1700-1750,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Great Britain,2.833,8,10292
1750,1700-1750,Bights,Great Britain,2.8333,8,179
1750,1700-1750,Calabar,France,4.982,8.3345,2769
1750,1700-1750,Calabar,Great Britain,4.982,8.3345,43787
1750,1700-1750,Calabar,Other,4.982,8.3345,56
1750,1700-1750,Calabar,Netherlands,4.982,8.3345,460
1750,1700-1750,Calabar,Portugal,4.982,8.3345,5228
1750,1700-1750,Cap Lopez,France,-0.7726,8.7812,579
1750,1700-1750,Cap Lopez,Great Britain,-0.7726,8.7812,276
1750,1700-1750,"West Central Africa and St. Helena, port unspecified",Other,-3.4426,10.6563,370
1750,1700-1750,"West Central Africa and St. Helena, port unspecified",France,-3.4426,10.6563,23025
1750,1700-1750,"West Central Africa and St. Helena, port unspecified",Great Britain,-3.4426,10.6563,51941
1750,1700-1750,"West Central Africa and St. Helena, port unspecified",Netherlands,-3.4426,10.6563,455
1750,1700-1750,"West Central Africa and St. Helena, port unspecified",Portugal / Brazil,-3.4426,10.6563,688
1750,1700-1750,Mayumba,Great Britain,-3.4259,10.6567,546
1750,1700-1750,Loango,France,-4.4925,11.2558,18232
1750,1700-1750,Loango,Great Britain,-4.4925,11.2558,9456
1750,1700-1750,Loango,Netherlands,-4.4925,11.2558,4352
1750,1700-1750,Loango,USA,-4.4925,11.2558,257
1750,1700-1750,Boary,Netherlands,-4.49257,11.25584,2367
1750,1700-1750,Gabon,France,-0.8037,11.6094,1059
1750,1700-1750,Gabon,Netherlands,-0.8037,11.6094,10
1750,1700-1750,Congo North,France,-4.769,11.866,1212
1750,1700-1750,Congo North,Netherlands,-4.769,11.866,24795
1750,1700-1750,Malembo,France,-5.3384,12.1876,6525
1750,1700-1750,Malembo,Great Britain,-5.3384,12.1876,7765
1750,1700-1750,Malembo,Netherlands,-5.3384,12.1876,4245
1750,1700-1750,Cabinda,France,-5.57,12.2,19930
1750,1700-1750,Cabinda,Great Britain,-5.57,12.2,19976
1750,1700-1750,Cabinda,Netherlands,-5.57,12.2,609
1750,1700-1750,Congo River,France,-6.07,12.45,198
1750,1700-1750,Congo River,Great Britain,-6.07,12.45,170
1750,1700-1750,St. Paul de Loanda,France,-8.80407,13.2333,801
1750,1700-1750,St. Paul de Loanda,Portugal,-8.80407,13.2333,168365
1750,1700-1750,Benguela,Portugal,-12.59,13.42,3798
1750,1700-1750,Madeira,Great Britain,32.76,16.96,414
1750,1700-1750,Chama,France,-11.2167,33.1605,271
1750,1700-1750,Galam,France,32.4612,35.0211,100
1750,1700-1750,"Southeast Africa and Indian Ocean islands, port unspecified",Great Britain,-18.7669,46.8691,59
1750,1700-1750,Madagascar,Other,-25.033,46.9833,42
1750,1700-1750,Madagascar,France,-25.033,46.9833,772
1750,1700-1750,Madagascar,Great Britain,-25.033,46.9833,5771
1750,1700-1750,St. Paul,France,-21.0453,55.3365,196
1800,1750-1800,C.C. Castle and Windward,USA,6.4281,-9.4295,167
1800,1750-1800,Windward Coast (Nunez - Assini),Great Britain,6.4281,-9.4295,16525
1800,1750-1800,"Windward Coast, port unspecified",France,6.4281,-9.4295,2058
1800,1750-1800,"Windward Coast, port unspecified",Great Britain,6.4281,-9.4295,67566
1800,1750-1800,"Windward Coast, port unspecified",Netherlands,6.4281,-9.4295,3328
1800,1750-1800,"Windward Coast, port unspecified",USA,6.4281,-9.4295,678
1800,1750-1800,Cape Verde Islands,Portugal,16.54,-23.04,176
1800,1750-1800,Cape Verde Islands,USA,16.54,-23.04,45
1800,1750-1800,Senegal,France,14.72,-17.47,11657
1800,1750-1800,Senegal,Great Britain,14.72,-17.47,21339
1800,1750-1800,Senegal,USA,14.72,-17.47,1285
1800,1750-1800,"Joal, or Saloum River",France,14.1812,-16.8503,17
1800,1750-1800,Albreda,France,13.3378,-16.3861,154
1800,1750-1800,Cacheu,France,12,-16.1667,617
1800,1750-1800,Cacheu,Great Britain,12,-16.1667,351
1800,1750-1800,Cacheu,Portugal,12,-16.1667,13004
1800,1750-1800,Cacheu,USA,12,-16.1667,40
1800,1750-1800,Bissagos,France,11.25,-16.083,250
1800,1750-1800,Bissagos,Great Britain,11.25,-16.083,277
1800,1750-1800,Gallinhas,Great Britain,11.4667,-15.6833,1541
1800,1750-1800,Bissau,France,11.86113,-15.5859,679
1800,1750-1800,Bissau,Portugal,11.86113,-15.5859,15451
1800,1750-1800,Casamance,Other,13.0153,-15.3177,326
1800,1750-1800,Casamance,France,13.0153,-15.3177,53
1800,1750-1800,Casamance,Great Britain,13.0153,-15.3177,110
1800,1750-1800,Gambia,France,13.4432,-15.3101,2301
1800,1750-1800,Gambia,Great Britain,13.4432,-15.3101,56455
1800,1750-1800,Gambia,Spain / Uruguay,13.4432,-15.3101,0
1800,1750-1800,Gambia,USA,13.4432,-15.3101,2439
1800,1750-1800,Rio Nunez,Great Britain,10.833,-14.533,1391
1800,1750-1800,Rio Nunez,USA,10.833,-14.533,594
1800,1750-1800,Rio Pongo,Great Britain,10.05,-14.065,622
1800,1750-1800,Rio Pongo,USA,10.05,-14.065,99
1800,1750-1800,Iles de Los,France,9.4769,-13.7855,11945
1800,1750-1800,Iles de Los,Great Britain,9.4769,-13.7855,24747
1800,1750-1800,Iles de Los,USA,9.4769,-13.7855,2367
1800,1750-1800,Scarcies,France,8.48444,-13.23444,157
1800,1750-1800,Sierra Leone estuary,Other,8.48444,-13.23444,1255
1800,1750-1800,Sierra Leone estuary,France,8.48444,-13.23444,9497
1800,1750-1800,Sierra Leone estuary,Great Britain,8.48444,-13.23444,53618
1800,1750-1800,Sierra Leone estuary,Netherlands,8.48444,-13.23444,328
1800,1750-1800,Sierra Leone estuary,Portugal,8.48444,-13.23444,40
1800,1750-1800,Sierra Leone estuary,USA,8.48444,-13.23444,3318
1800,1750-1800,Banana Islands,France,8.1159,-13.2115,572
1800,1750-1800,Banana Islands,Great Britain,8.1159,-13.2115,3588
1800,1750-1800,Banana Islands,USA,8.1159,-13.2115,511
1800,1750-1800,Bance Island (Ben's Island),France,8.5667,-13.033,1133
1800,1750-1800,Bance Island (Ben's Island),Great Britain,8.5667,-13.033,9526
1800,1750-1800,Bance Island (Ben's Island),Netherlands,8.5667,-13.033,553
1800,1750-1800,Bance Island (Ben's Island),USA,8.5667,-13.033,562
1800,1750-1800,"Sierra Leone, port unspecified",France,8.57,-13.03,88
1800,1750-1800,"Sierra Leone, port unspecified",Great Britain,8.57,-13.03,922
1800,1750-1800,"Sierra Leone, port unspecified",USA,8.57,-13.03,214
1800,1750-1800,Sherbro,Great Britain,7.31,-12.3,2732
1800,1750-1800,Sherbro,USA,7.31,-12.3,268
1800,1750-1800,Mano,Great Britain,6.9295,-11.5007,574
1800,1750-1800,Cape Mount (Cape Grand Mount),France,7.133,-11.05,2201
1800,1750-1800,Cape Mount (Cape Grand Mount),Great Britain,7.133,-11.05,29004
1800,1750-1800,Cape Mount (Cape Grand Mount),Netherlands,7.133,-11.05,1035
1800,1750-1800,Cape Mount (Cape Grand Mount),USA,7.133,-11.05,307
1800,1750-1800,Grand Mesurado,France,6.2945,-10.7452,629
1800,1750-1800,Grand Mesurado,Great Britain,6.2945,-10.7452,919
1800,1750-1800,"Lagos, Onim",France,6.5244,3.3792,4709
1800,1750-1800,"Lagos, Onim",Great Britain,6.5244,3.3792,6480
1800,1750-1800,"Lagos, Onim",Portugal,6.5244,3.3792,1994
1800,1750-1800,Garroway Roads,Great Britain,4.56,-7.91571,148
1800,1750-1800,Tabou,Great Britain,5.1012,-7.3517,358
1800,1750-1800,Ivory Coast,Netherlands,7.54,-5.5471,318
1800,1750-1800,Cape Lahou,France,5.1365,-5.026,676
1800,1750-1800,Cape Lahou,Great Britain,5.1365,-5.026,514
1800,1750-1800,Cape Lahou,Netherlands,5.1365,-5.026,18381
1800,1750-1800,Grand Bassam,Great Britain,5.2259,-3.7537,101
1800,1750-1800,Apollonia,Great Britain,4.9885,-2.5904,352
1800,1750-1800,Axim,Netherlands,4.8665,-2.2409,496
1800,1750-1800,Costa da Mina,Portugal,5.0827,-1.348,138292
1800,1750-1800,Elmina,Other,5.1053,-1.3421,160
1800,1750-1800,Elmina,France,5.1053,-1.3421,317
1800,1750-1800,Elmina,Great Britain,5.1053,-1.3421,305
1800,1750-1800,Elmina,Netherlands,5.1053,-1.3421,18969
1800,1750-1800,Elmina,Portugal,5.1053,-1.3421,517
1800,1750-1800,Elmina,USA,5.1053,-1.3421,224
1800,1750-1800,"Africa., port unspecified",Other,6.6111,20.9394,16301
