decade_end,lives_lost
1520,225.0
1530,497.0
1540,648.0
1550,5463.0
1560,2880.0
1570,4179.0
1580,7059.0
1590,14373.0
1600,25653.0
1610,17299.0
1620,18205.0
1630,20100.0
1640,17731.0
1650,9766.0
1660,12045.0
1670,17698.0
1680,23137.0
1690,34808.0
1700,38791.0
1710,45930.0
1720,58459.0
1730,72864.0
1740,80730.0
1750,73308.0
1760,75687.0
1770,98660.0
1780,79473.0
1791,81986.0
1800,68698.0
1810,84775.0
1820,78632.0
1830,81174.0
1840,56414.0
1850,49224.0
1860,29260.0
1870,8397.0
